Pair #: 1	Jaccard: 0.3333333333333333	Title 1: RET ACTIVATION BY GERMLINE MEN2A AND MEN2B MUTATIONS	Title 2: ACTIVATION OF RET AS A DOMINANT TRANSFORMING GENE BY GERMLINE MUTATIONS OF MEN2A AND MEN2B	Authors: [:borrello, alberti, arighi, bocciardi, bongarzone, eng, greco, lorenzo, miranda, mondellini, pasini, pierotti, ponder, romeo, scopsi, smith]	Authors: [:santoro, bottaro, carlomagno, dathan, difiore, fusco, grieco, kraus, matoskova, romano, vecchio]	
Pair #: 174	Jaccard: 0.2857142857142857	Title 1: SINGLE-CELL RNA-SEQ PROFILING OF HUMAN PREIMPLANTATION EMBRYOS AND EMBRYONIC STEM CELLS	Title 2: HIGH-RESOLUTION DNA METHYLOME ANALYSIS OF PRIMORDIAL GERM CELLS IDENTIFIES GENDER-SPECIFIC REPROGRAMMING IN MICE	Authors: [:yan, guo, huang, lao, li, li, li, lian, liu, qiao, tang, wen, wu, wu, yan, yang, yang, zheng]	Authors: [:kobayashi, imai, ito, kono, matsui, miura, mochiduki, sakashita, sakurai, suzuki, wakai, yanagisawa]	
Pair #: 175	Jaccard: 0.3333333333333333	Title 1: SIGNATURES OF MUTATIONAL PROCESSES IN HUMAN CANCER	Title 2: COMPUTATIONAL PURIFICATION OF INDIVIDUAL TUMOR GENE EXPRESSION PROFILES LEADS TO SIGNIFICANT IMPROVEMENTS IN PROGNOSTIC PREDICTION	Authors: [:alexandrov, aparicio, behjati, biankin, bignell, bolli, borg, borresen-dale, boyault, burkhardt, butler, caldas, campbell, campo, davies, desmedt, eils, eyfjord, foekens, futreal, greaves, grimmond, hosoda, hutter, ilicic, imbeaud, imielinsk, jaeger, jones, jones, knappskog, kool, lakhani, lichter, lopez-otin, martin, mcdermott, meyerson, munshi, nakamura, nik-zainal, northcott, pajic, papaemmanuil, paradiso, pearson, pfister, puente, raine, ramakrishna, richardson, richter, rosenstiel, schlesner, schumacher, shibata, siebert, span, stratton, teague, totoki, tutt, valdes-mas, van 't veer, van buuren, vincent-salomon, waddell, wedge, yates, zucman-rossi]	Authors: [:quon, boutros, cui, deshwar, haider, morris]	
Pair #: 176	Jaccard: 0.3333333333333333	Title 1: SIGNATURES OF MUTATIONAL PROCESSES IN HUMAN CANCER	Title 2: PROSTATE CANCER-ASSOCIATED MUTATIONS IN SPECKLE-TYPE POZ PROTEIN (SPOP) REGULATE STEROID RECEPTOR COACTIVATOR 3 PROTEIN TURNOVER	Authors: [:alexandrov, aparicio, behjati, biankin, bignell, bolli, borg, borresen-dale, boyault, burkhardt, butler, caldas, campbell, campo, davies, desmedt, eils, eyfjord, foekens, futreal, greaves, grimmond, hosoda, hutter, ilicic, imbeaud, imielinsk, jaeger, jones, jones, knappskog, kool, lakhani, lichter, lopez-otin, martin, mcdermott, meyerson, munshi, nakamura, nik-zainal, northcott, pajic, papaemmanuil, paradiso, pearson, pfister, puente, raine, ramakrishna, richardson, richter, rosenstiel, schlesner, schumacher, shibata, siebert, span, stratton, teague, totoki, tutt, valdes-mas, van 't veer, van buuren, vincent-salomon, waddell, wedge, yates, zucman-rossi]	Authors: [:geng, barbieri, blattner, bond, chew, coarfa, demichelis, eedunuri, he, li, lonard, mitsiades, o'malley, rubin, shou, xu, zhou, zimmermann]	
Pair #: 177	Jaccard: 0.3333333333333333	Title 1: SEROTONIN SIGNALLING IN THE GUT-FUNCTIONS, DYSFUNCTIONS AND THERAPEUTIC TARGETS"	Title 2: COMPLEX INTERACTIONS AMONG DIET, GASTROINTESTINAL TRANSIT, AND GUT MICROBIOTA IN HUMANIZED MICE"	Authors: [:mawe, hoffman]	Authors: [:kashyap, duboc, earle, farrugia, ferreyra, higginbottom, knight, larauche, marcobal, million, pasricha, sonnenburg, sonnenburg, tache, ursell]	
Pair #: 178	Jaccard: 0.3333333333333333	Title 1: SELF-PROPAGATION OF PATHOGENIC PROTEIN AGGREGATES IN NEURODEGENERATIVE DISEASES	Title 2: ALTERED RIBOSTASIS: RNA-PROTEIN GRANULES IN DEGENERATIVE DISORDERS	Authors: [:jucker, walker]	Authors: [:ramaswami, parker, taylor]	
Pair #: 179	Jaccard: 0.3333333333333333	Title 1: SELF-PROPAGATION OF PATHOGENIC PROTEIN AGGREGATES IN NEURODEGENERATIVE DISEASES	Title 2: DUAL SPECIFICITY KINASE DYRK3 COUPLES STRESS GRANULE CONDENSATION/DISSOLUTION TO MTORC1 SIGNALING	Authors: [:jucker, walker]	Authors: [:wippich, aebersold, bodenmiller, pelkmans, trajkovska, wanka]	
Pair #: 180	Jaccard: 0.42857142857142855	Title 1: RNA-GUIDED HUMAN GENOME ENGINEERING VIA CAS9	Title 2: MULTIPLEX GENOME ENGINEERING USING CRISPR/CAS SYSTEMS	Authors: [:mali, aach, church, dicarlo, esvelt, guell, norville, yang]	Authors: [:cong, barretto, cox, habib, hsu, jiang, lin, marraffini, ran, wu, zhang]	
Pair #: 181	Jaccard: 0.3333333333333333	Title 1: RNA DECAY MACHINES: THE EXOSOME	Title 2: DISCOVERY AND CHARACTERIZATION OF SUPER-ENHANCER-ASSOCIATED DEPENDENCIES IN DIFFUSE LARGE B CELL LYMPHOMA	Authors: [:chlebowski, dziembowski, jensen, lubas]	Authors: [:chapuy, bradner, doench, kung, lin, mckeown, monti, qi, rahl, reichert, rodig, roemer, shipp, sun, yeda, young]	
Pair #: 182	Jaccard: 0.3333333333333333	Title 1: RIBOSOME STRUCTURES TO NEAR-ATOMIC RESOLUTION FROM THIRTY THOUSAND CRYO-EM PARTICLES	Title 2: AVOIDING THE PITFALLS OF SINGLE PARTICLE CRYO-ELECTRON MICROSCOPY: EINSTEIN FROM NOISE	Authors: [:bai, fernandez, mcmullan, scheres]	Authors: [:henderson]	
Pair #: 183	Jaccard: 0.3333333333333333	Title 1: RIBOSOME STRUCTURES TO NEAR-ATOMIC RESOLUTION FROM THIRTY THOUSAND CRYO-EM PARTICLES	Title 2: MOLECULAR ARCHITECTURE OF THE UNCLEAVED HIV-1 ENVELOPE GLYCOPROTEIN TRIMER	Authors: [:bai, fernandez, mcmullan, scheres]	Authors: [:mao, desormeaux, finzi, gu, herschhorn, sodroski, wang, xiang]	
Pair #: 184	Jaccard: 0.3333333333333333	Title 1: RIBOSOME STRUCTURES TO NEAR-ATOMIC RESOLUTION FROM THIRTY THOUSAND CRYO-EM PARTICLES	Title 2: QUANTITATIVE CHARACTERIZATION OF ELECTRON DETECTORS FOR TRANSMISSION ELECTRON MICROSCOPY	Authors: [:bai, fernandez, mcmullan, scheres]	Authors: [:ruskin, grigorieff, yu]	
Pair #: 185	Jaccard: 0.3333333333333333	Title 1: RESTRICTION OF INTESTINAL STEM CELL EXPANSION AND THE REGENERATIVE RESPONSE BY YAP	Title 2: PROTEIN KINASE A ACTIVATES THE HIPPO PATHWAY TO MODULATE CELL PROLIFERATION AND DIFFERENTIATION	Authors: [:barry, butler, camargo, de la rosa, fuchs, kuo, magness, morikawa, ogino, shrestha, smits, yan]	Authors: [:yu, chen, deng, guan, jewell, lai, pan, park, taylor, zhang]	
Pair #: 186	Jaccard: 0.3333333333333333	Title 1: REPLICATION-COUPLED PASSIVE DNA DEMETHYLATION FOR THE ERASURE OF GENOME IMPRINTS IN MICE	Title 2: A TRIPARTITE TRANSCRIPTION FACTOR NETWORK REGULATES PRIMORDIAL GERM CELL SPECIFICATION IN MICE	Authors: [:kagiwada, hirota, kurimoto, saitou, yamaji]	Authors: [:magnusdottir, bao, diamanti, dietmann, gottgens, guenesdogan, lao, murakami, surani, tang]	
Pair #: 187	Jaccard: 0.3333333333333333	Title 1: REPLICATION-COUPLED PASSIVE DNA DEMETHYLATION FOR THE ERASURE OF GENOME IMPRINTS IN MICE	Title 2: EPIGENOMIC ANALYSIS OF MULTILINEAGE DIFFERENTIATION OF HUMAN EMBRYONIC STEM CELLS	Authors: [:kagiwada, hirota, kurimoto, saitou, yamaji]	Authors: [:xie, antosiewicz-bourget, chen, chi, chung, ecker, edsall, hawkins, hou, kim, klugman, kuan, kulkarni, lee, leung, li, lister, nery, propson, rajagopal, ray, ren, schultz, slukvin, stewart, suknuntha, swanson, thomson, tian, urich, wagner, wang, wang, whitaker, xuan, yang, ye, yen, yu, zhang, zhang, zhu]	
Pair #: 188	Jaccard: 0.3333333333333333	Title 1: REPLICATION-COUPLED PASSIVE DNA DEMETHYLATION FOR THE ERASURE OF GENOME IMPRINTS IN MICE	Title 2: PRIMORDIAL GERM-CELL DEVELOPMENT AND EPIGENETIC REPROGRAMMING IN MAMMALS	Authors: [:kagiwada, hirota, kurimoto, saitou, yamaji]	Authors: [:leitch, surani, tang]	
Pair #: 189	Jaccard: 0.2857142857142857	Title 1: RATIONAL HIV IMMUNOGEN DESIGN TO TARGET SPECIFIC GERMLINE B CELL RECEPTORS	Title 2: CO-EVOLUTION OF A BROADLY NEUTRALIZING HIV-1 ANTIBODY AND FOUNDER VIRUS	Authors: [:jardine, baker, burton, huang, jones, julien, kalyuzhniy, macpherson, mathison, mcguire, menis, nemazee, nieusma, ota, schief, sok, stamatatos, ward, wilson]	Authors: [:liao, alam, boyd, cai, chen, chen, cohen, du, fire, gao, gnanakaran, hahn, haynes, hraber, joyce, kamanga, kelsoe, kepler, korber, kwong, lloyd, louder, lynch, mascola, montefiori, moquin, mullikin, parks, roskin, scearce, schramm, shapiro, shaw, soderberg, srivatsan, tran, wiehe, xia, yang, zhang, zhang, zheng, zhou, zhu]	
Pair #: 190	Jaccard: 0.3333333333333333	Title 1: QUANTITATIVE CHARACTERIZATION OF ELECTRON DETECTORS FOR TRANSMISSION ELECTRON MICROSCOPY	Title 2: AVOIDING THE PITFALLS OF SINGLE PARTICLE CRYO-ELECTRON MICROSCOPY: EINSTEIN FROM NOISE	Authors: [:ruskin, grigorieff, yu]	Authors: [:henderson]	
Pair #: 191	Jaccard: 0.3333333333333333	Title 1: QUANTITATIVE CHARACTERIZATION OF ELECTRON DETECTORS FOR TRANSMISSION ELECTRON MICROSCOPY	Title 2: MOLECULAR ARCHITECTURE OF THE UNCLEAVED HIV-1 ENVELOPE GLYCOPROTEIN TRIMER	Authors: [:ruskin, grigorieff, yu]	Authors: [:mao, desormeaux, finzi, gu, herschhorn, sodroski, wang, xiang]	
Pair #: 192	Jaccard: 0.3333333333333333	Title 1: PROSTATE CANCER-ASSOCIATED MUTATIONS IN SPECKLE-TYPE POZ PROTEIN (SPOP) REGULATE STEROID RECEPTOR COACTIVATOR 3 PROTEIN TURNOVER	Title 2: COMPUTATIONAL PURIFICATION OF INDIVIDUAL TUMOR GENE EXPRESSION PROFILES LEADS TO SIGNIFICANT IMPROVEMENTS IN PROGNOSTIC PREDICTION	Authors: [:geng, barbieri, blattner, bond, chew, coarfa, demichelis, eedunuri, he, li, lonard, mitsiades, o'malley, rubin, shou, xu, zhou, zimmermann]	Authors: [:quon, boutros, cui, deshwar, haider, morris]	
Pair #: 193	Jaccard: 0.3333333333333333	Title 1: PRIMORDIAL GERM-CELL DEVELOPMENT AND EPIGENETIC REPROGRAMMING IN MAMMALS	Title 2: A MESODERMAL FACTOR, T, SPECIFIES MOUSE GERM CELL FATE BY DIRECTLY ACTIVATING GERMLINE DETERMINANTS"	Authors: [:leitch, surani, tang]	Authors: [:aramaki, hamakubo, hayashi, iwanari, kato, kurimoto, mochizuki, ohta, saitou, shirahige, yabuta]	
Pair #: 194	Jaccard: 0.3333333333333333	Title 1: PRIMORDIAL GERM-CELL DEVELOPMENT AND EPIGENETIC REPROGRAMMING IN MAMMALS	Title 2: EPIGENOMIC ANALYSIS OF MULTILINEAGE DIFFERENTIATION OF HUMAN EMBRYONIC STEM CELLS	Authors: [:leitch, surani, tang]	Authors: [:xie, antosiewicz-bourget, chen, chi, chung, ecker, edsall, hawkins, hou, kim, klugman, kuan, kulkarni, lee, leung, li, lister, nery, propson, rajagopal, ray, ren, schultz, slukvin, stewart, suknuntha, swanson, thomson, tian, urich, wagner, wang, wang, whitaker, xuan, yang, ye, yen, yu, zhang, zhang, zhu]	
Pair #: 195	Jaccard: 0.4	Title 1: POSTTRANSCRIPTIONAL CONTROL OF T CELL EFFECTOR FUNCTION BY AEROBIC GLYCOLYSIS	Title 2: NIVOLUMAB PLUS IPILIMUMAB IN ADVANCED MELANOMA	Authors: [:chang, blagih, curtis, faubert, huang, jones, maggi, o'sullivan, pearce, pearce, qiu, van der windt, villarino, weber]	Authors: [:wolchok, agunwamba, ariyan, burke, caldwell, callahan, feely, gordon, gupta, hong, horak, inzunza, kluger, korman, kronenberg, lesokhin, lowy, postow, reed, rizvi, segal, sznol, wigginton, zhang]	
Pair #: 196	Jaccard: 0.3333333333333333	Title 1: PD-L1 EXPRESSION BY NEURONS NEARBY TUMORS INDICATES BETTER PROGNOSIS IN GLIOBLASTOMA PATIENTS	Title 2: FC-DEPENDENT DEPLETION OF TUMOR-INFILTRATING REGULATORY T CELLS CO-DEFINES THE EFFICACY OF ANTI-CTLA-4 THERAPY AGAINST MELANOMA	Authors: [:liu, ambjorn, badn, carlsson, darabi, hasan, issazadeh-navikas, siesjo]	Authors: [:simpson, allison, arce, bergerhoff, henry, li, montalvo-ortiz, peggs, quezada, ravetch, roddie, sepulveda, wolchok, yagita]	
Pair #: 197	Jaccard: 0.3333333333333333	Title 1: OPTICAL CONTROL OF MAMMALIAN ENDOGENOUS TRANSCRIPTION AND EPIGENETIC STATES	Title 2: A UNIQUE POPULATION OF VENTRAL TEGMENTAL AREA NEURONS INHIBITS THE LATERAL HABENULA TO PROMOTE REWARD	Authors: [:konermann, brigham, church, cong, heidenreich, hsu, platt, scott, trevino, zhang]	Authors: [:stamatakis, blair, boyce, deisseroth, jennings, mattis, neve, ramakrishnan, stuber, ung, weinberg]	
Pair #: 198	Jaccard: 0.3333333333333333	Title 1: MOLECULAR ARCHITECTURE OF THE UNCLEAVED HIV-1 ENVELOPE GLYCOPROTEIN TRIMER	Title 2: AVOIDING THE PITFALLS OF SINGLE PARTICLE CRYO-ELECTRON MICROSCOPY: EINSTEIN FROM NOISE	Authors: [:mao, desormeaux, finzi, gu, herschhorn, sodroski, wang, xiang]	Authors: [:henderson]	
Pair #: 199	Jaccard: 0.3333333333333333	Title 1: MODULATORS OF THE SPHINGOSINE 1-PHOSPHATE RECEPTOR 1	Title 2: DETERMINING TARGET ENGAGEMENT IN LIVING SYSTEMS	Authors: [:urbano, guerrero, roberts, rosen]	Authors: [:simon, cravatt, niphakis]	
Pair #: 200	Jaccard: 0.3333333333333333	Title 1: MAMMALIAN HEART RENEWAL BY PRE-EXISTING CARDIOMYOCYTES	Title 2: CELL CYCLE AND LINEAGE PROGRESSION OF NEURAL PROGENITORS IN THE VENTRICULAR-SUBVENTRICULAR ZONES OF ADULT MICE	Authors: [:senyo, cai, guerquin-kern, lechene, lee, pizzimenti, steinhauser, wang, wu, yang]	Authors: [:ponti, alvarez-buylla, bonfanti, guinto, jose, obernier]	
Pair #: 201	Jaccard: 0.5	Title 1: LIKELIHOOD-BASED CLASSIFICATION OF CRYO-EM IMAGES USING FREALIGN	Title 2: ELECTRON COUNTING AND BEAM-INDUCED MOTION CORRECTION ENABLE NEAR-ATOMIC-RESOLUTION SINGLE-PARTICLE CRYO-EM	Authors: [:lyumkis, brilot, grigorieff, theobald]	Authors: [:li, agard, booth, braunfeld, cheng, gubbens, mooney, zheng]	
Pair #: 202	Jaccard: 0.5	Title 1: IDENTIFICATION OF GENETIC VARIANTS THAT AFFECT HISTONE MODIFICATIONS IN HUMAN CELLS	Title 2: COORDINATED EFFECTS OF SEQUENCE VARIATION ON DNA BINDING, CHROMATIN STRUCTURE, AND TRANSCRIPTION"	Authors: [:mcvicker, banovich, cain, degner, gilad, lewellen, myrthil, pritchard, raj, van de geijn]	Authors: [:kilpinen, bielser, bryois, core, deplancke, dermitzakis, gschwind, gutierrez-arcelus, hacker, hernandez, lappalainen, lis, migliavacca, orioli, padioleau, panousis, planchon, raghav, reymond, romano-palumbo, thurnheer, udin, waszak, wiederkehr, witwicki, yurovsky]	
Pair #: 203	Jaccard: 0.5	Title 1: HIGH-RESOLUTION DNA METHYLOME ANALYSIS OF PRIMORDIAL GERM CELLS IDENTIFIES GENDER-SPECIFIC REPROGRAMMING IN MICE	Title 2: GERMLINE DNA DEMETHYLATION DYNAMICS AND IMPRINT ERASURE THROUGH 5-HYDROXYMETHYLCYTOSINE	Authors: [:kobayashi, imai, ito, kono, matsui, miura, mochiduki, sakashita, sakurai, suzuki, wakai, yanagisawa]	Authors: [:hackett, down, lee, murakami, sengupta, surani, zylicz]	
Pair #: 204	Jaccard: 0.3333333333333333	Title 1: EPIGENOMIC ANALYSIS OF MULTILINEAGE DIFFERENTIATION OF HUMAN EMBRYONIC STEM CELLS	Title 2: A MESODERMAL FACTOR, T, SPECIFIES MOUSE GERM CELL FATE BY DIRECTLY ACTIVATING GERMLINE DETERMINANTS"	Authors: [:xie, antosiewicz-bourget, chen, chi, chung, ecker, edsall, hawkins, hou, kim, klugman, kuan, kulkarni, lee, leung, li, lister, nery, propson, rajagopal, ray, ren, schultz, slukvin, stewart, suknuntha, swanson, thomson, tian, urich, wagner, wang, wang, whitaker, xuan, yang, ye, yen, yu, zhang, zhang, zhu]	Authors: [:aramaki, hamakubo, hayashi, iwanari, kato, kurimoto, mochizuki, ohta, saitou, shirahige, yabuta]	
Pair #: 205	Jaccard: 0.3333333333333333	Title 1: EPIGENOMIC ANALYSIS OF MULTILINEAGE DIFFERENTIATION OF HUMAN EMBRYONIC STEM CELLS	Title 2: A TRIPARTITE TRANSCRIPTION FACTOR NETWORK REGULATES PRIMORDIAL GERM CELL SPECIFICATION IN MICE	Authors: [:xie, antosiewicz-bourget, chen, chi, chung, ecker, edsall, hawkins, hou, kim, klugman, kuan, kulkarni, lee, leung, li, lister, nery, propson, rajagopal, ray, ren, schultz, slukvin, stewart, suknuntha, swanson, thomson, tian, urich, wagner, wang, wang, whitaker, xuan, yang, ye, yen, yu, zhang, zhang, zhu]	Authors: [:magnusdottir, bao, diamanti, dietmann, gottgens, guenesdogan, lao, murakami, surani, tang]	
Pair #: 206	Jaccard: 0.3333333333333333	Title 1: ENHANCER TRANSCRIPTS MARK ACTIVE ESTROGEN RECEPTOR BINDING SITES	Title 2: EFFECT OF NATURAL GENETIC VARIATION ON ENHANCER SELECTION AND FUNCTION	Authors: [:hah, danko, kraus, murakami, nagari]	Authors: [:heinz, allison, benner, glass, kaikkonen, orozco, romanoski]	
Pair #: 207	Jaccard: 0.3333333333333333	Title 1: ENGINEERING HIV ENVELOPE PROTEIN TO ACTIVATE GERMLINE B CELL RECEPTORS OF BROADLY NEUTRALIZING ANTI-CD4 BINDING SITE ANTIBODIES	Title 2: CRYO-EM STRUCTURE OF A FULLY GLYCOSYLATED SOLUBLE CLEAVED HIV-1 ENVELOPE TRIMER	Authors: [:mcguire, cohen, dreyer, hoot, jardine, lippy, menis, scheid, schief, stamatatos, stuart, west]	Authors: [:lyumkis, burton, carragher, cupo, de val, julien, klasse, moore, potter, sanders, ward, wilson]	
Pair #: 208	Jaccard: 0.3333333333333333	Title 1: ENGINEERING HIV ENVELOPE PROTEIN TO ACTIVATE GERMLINE B CELL RECEPTORS OF BROADLY NEUTRALIZING ANTI-CD4 BINDING SITE ANTIBODIES	Title 2: CRYSTAL STRUCTURE OF A SOLUBLE CLEAVED HIV-1 ENVELOPE TRIMER	Authors: [:mcguire, cohen, dreyer, hoot, jardine, lippy, menis, scheid, schief, stamatatos, stuart, west]	Authors: [:julien, burton, cupo, deller, klasse, lyumkis, moore, sanders, sok, stanfield, ward, wilson]	
Pair #: 209	Jaccard: 0.3333333333333333	Title 1: DYNAMICS OF 5-METHYLCYTOSINE AND 5-HYDROXYMETHYLCYTOSINE DURING GERM CELL REPROGRAMMING	Title 2: DERIVATION OF NOVEL HUMAN GROUND STATE NAIVE PLURIPOTENT STEM CELLS	Authors: [:yamaguchi, hong, inoue, liu, shen, zhang, zhang]	Authors: [:gafni, amann-zalcenstein, amit, ben-yosef, benjamin, caspi, chomsky, geula, gilad, hanna, kalma, krupalnik, manor, mansour, massarwa, maza, mukamel, novershtern, rais, schneir, shipony, shwartz, tanay, viukov, weinberger, zerbib, zviran]	
Pair #: 210	Jaccard: 0.3333333333333333	Title 1: DYNAMIC ANCHORING OF THE 3 '-END OF THE GUIDE STRAND CONTROLS THE TARGET DISSOCIATION OF ARGONAUTE-GUIDE COMPLEX	Title 2: BACTERIAL ARGONAUTE SAMPLES THE TRANSCRIPTOME TO IDENTIFY FOREIGN DNA	Authors: [:jung, hohng, hwang, kim, shin, song]	Authors: [:olovnikov, aravin, chan, newman, sachidanandam]	
Pair #: 211	Jaccard: 0.3333333333333333	Title 1: DUAL SPECIFICITY KINASE DYRK3 COUPLES STRESS GRANULE CONDENSATION/DISSOLUTION TO MTORC1 SIGNALING	Title 2: ALTERED RIBOSTASIS: RNA-PROTEIN GRANULES IN DEGENERATIVE DISORDERS	Authors: [:wippich, aebersold, bodenmiller, pelkmans, trajkovska, wanka]	Authors: [:ramaswami, parker, taylor]	
Pair #: 212	Jaccard: 0.3333333333333333	Title 1: DROSOPHILA NOMPC IS A MECHANOTRANSDUCTION CHANNEL SUBUNIT FOR GENTLE-TOUCH SENSATION	Title 2: A NOMPC-DEPENDENT MEMBRANE-MICROTUBULE CONNECTOR IS A CANDIDATE FOR THE GATING SPRING IN FLY MECHANORECEPTORS	Authors: [:yan, cheng, gorczyca, he, jan, jan, meltzer, xiang, zhang]	Authors: [:liang, bogdanova, gaertner, howard, madrid, schiklenk, stenger, verbavatz, voigt, wilsch-braeuninger]	
Pair #: 213	Jaccard: 0.3333333333333333	Title 1: DISSECTING THE DIVERSITY OF MIDBRAIN DOPAMINE NEURONS	Title 2: DISSECTING LOCAL CIRCUITS: PARVALBUMIN INTERNEURONS UNDERLIE BROAD FEEDBACK CONTROL OF OLFACTORY BULB OUTPUT	Authors: [:roeper]	Authors: [:miyamichi, luo, mizrahi, shlomai-fuchs, shu, weissbourd]	
Pair #: 214	Jaccard: 0.42857142857142855	Title 1: CRYSTAL STRUCTURE OF A SOLUBLE CLEAVED HIV-1 ENVELOPE TRIMER	Title 2: CO-EVOLUTION OF A BROADLY NEUTRALIZING HIV-1 ANTIBODY AND FOUNDER VIRUS	Authors: [:julien, burton, cupo, deller, klasse, lyumkis, moore, sanders, sok, stanfield, ward, wilson]	Authors: [:liao, alam, boyd, cai, chen, chen, cohen, du, fire, gao, gnanakaran, hahn, haynes, hraber, joyce, kamanga, kelsoe, kepler, korber, kwong, lloyd, louder, lynch, mascola, montefiori, moquin, mullikin, parks, roskin, scearce, schramm, shapiro, shaw, soderberg, srivatsan, tran, wiehe, xia, yang, zhang, zhang, zheng, zhou, zhu]	
Pair #: 215	Jaccard: 0.42857142857142855	Title 1: CRYO-EM STRUCTURE OF A FULLY GLYCOSYLATED SOLUBLE CLEAVED HIV-1 ENVELOPE TRIMER	Title 2: CO-EVOLUTION OF A BROADLY NEUTRALIZING HIV-1 ANTIBODY AND FOUNDER VIRUS	Authors: [:lyumkis, burton, carragher, cupo, de val, julien, klasse, moore, potter, sanders, ward, wilson]	Authors: [:liao, alam, boyd, cai, chen, chen, cohen, du, fire, gao, gnanakaran, hahn, haynes, hraber, joyce, kamanga, kelsoe, kepler, korber, kwong, lloyd, louder, lynch, mascola, montefiori, moquin, mullikin, parks, roskin, scearce, schramm, shapiro, shaw, soderberg, srivatsan, tran, wiehe, xia, yang, zhang, zhang, zheng, zhou, zhu]	
Pair #: 216	Jaccard: 0.3333333333333333	Title 1: A TRIPARTITE TRANSCRIPTION FACTOR NETWORK REGULATES PRIMORDIAL GERM CELL SPECIFICATION IN MICE	Title 2: A MESODERMAL FACTOR, T, SPECIFIES MOUSE GERM CELL FATE BY DIRECTLY ACTIVATING GERMLINE DETERMINANTS"	Authors: [:magnusdottir, bao, diamanti, dietmann, gottgens, guenesdogan, lao, murakami, surani, tang]	Authors: [:aramaki, hamakubo, hayashi, iwanari, kato, kurimoto, mochizuki, ohta, saitou, shirahige, yabuta]	
Pair #: 217	Jaccard: 0.3333333333333333	Title 1: XBP1 PROMOTES TRIPLE-NEGATIVE BREAST CANCER BY CONTROLLING THE HIF1 ALPHA PATHWAY	Title 2: DISSECTING THE TUMOR MYELOID COMPARTMENT REVEALS RARE ACTIVATING ANTIGEN-PRESENTING CELLS CRITICAL FOR T CELL IMMUNITY	Authors: [:chen, adoro, brown, chang, chen, ferrari, glimcher, greenblatt, hatziapostolou, hu, hu, iliopoulos, landis, lim, liu, mai, ni, shen, shin, song, tam, tan, tang, zhang]	Authors: [:broz, amigorena, barber, barczak, binnewies, boldajipour, daud, erle, krummel, nelson, pollack, rosenblum, sperling, van't veer, wolf]	
Pair #: 218	Jaccard: 0.4	Title 1: VALIDATION OF NOISE MODELS FOR SINGLE-CELL TRANSCRIPTOMICS	Title 2: LOW-COVERAGE SINGLE-CELL MRNA SEQUENCING REVEALS CELLULAR HETEROGENEITY AND ACTIVATED SIGNALING PATHWAYS IN DEVELOPING CEREBRAL CORTEX	Authors: [:grun, kester, van oudenaarden]	Authors: [:pollen, alvarado, chen, clerkson, fowler, jones, jones, kemp, knutsson, kriegstein, lebofsky, leyrat, li, lui, may, norris, nowakowski, ramalingam, shuga, sun, szpankowski, thu, toppani, unger, wang, wang, weaver, west, wong, wu]	
Pair #: 219	Jaccard: 0.2857142857142857	Title 1: VALIDATION OF NOISE MODELS FOR SINGLE-CELL TRANSCRIPTOMICS	Title 2: MASSIVELY PARALLEL SINGLE-CELL RNA-SEQ FOR MARKER-FREE DECOMPOSITION OF TISSUES INTO CELL TYPES	Authors: [:grun, kester, van oudenaarden]	Authors: [:jaitin, amit, cohen, elefant, jung, kenigsberg, keren-shaul, mildner, paul, tanay, zaretsky]	
Pair #: 220	Jaccard: 0.3333333333333333	Title 1: V1 AND V2B INTERNEURONS SECURE THE ALTERNATING FLEXOR-EXTENSOR MOTOR ACTIVITY MICE REQUIRE FOR LIMBED LOCOMOTION	Title 2: BRAINSTEM NUCLEUS MDV MEDIATES SKILLED FORELIMB MOTOR TASKS	Authors: [:zhang, alvarez, britz, frank, goulding, lanuza, siembab, velasquez, wang, zhang]	Authors: [:esposito, arber, capelli]	
Pair #: 221	Jaccard: 0.4	Title 1: UNRAVELLING THE STRUCTURAL AND MECHANISTIC BASIS OF CRISPR-CAS SYSTEMS	Title 2: CRISPR-CAS SYSTEMS: PROKARYOTES UPGRADE TO ADAPTIVE IMMUNITY	Authors: [:van der oost, jackson, westra, wiedenheft]	Authors: [:barrangou, marraffini]	
Pair #: 222	Jaccard: 0.3333333333333333	Title 1: TYPE I AND TYPE II FC RECEPTORS REGULATE INNATE AND ADAPTIVE IMMUNITY	Title 2: PD-1 IDENTIFIES THE PATIENT-SPECIFIC CD8(+) TUMOR-REACTIVE REPERTOIRE INFILTRATING HUMAN TUMORS	Authors: [:pincetic, bournazos, dahan, dilillo, fiebiger, maamary, ravetch, wang]	Authors: [:gros, almeida, darko, douek, dudley, farid, hanada, li, mixon, robbins, rosenberg, tran, turcotte, wunderlich, yang, yao]	
